# x	y	u	v	mask
  0.6268	 10.2000	 -3.3255	  3.4005	  0.0000
  1.2795	 10.2000	 -3.1339	  3.2749	  0.0000
  1.9322	 10.2000	 -2.9658	  3.3563	  0.0000
  2.5850	 10.2000	 -2.5137	  2.6164	  0.0000
  3.2377	 10.2000	 -2.5757	  2.8700	  0.0000
  3.8904	 10.2000	 -2.6598	  2.6984	  1.0000
  4.5431	 10.2000	 -2.4918	  2.6168	  1.0000
  5.1958	 10.2000	 -1.7865	  2.4858	  0.0000
  5.8485	 10.2000	 -1.6564	  2.7342	  0.0000
  6.5012	 10.2000	 -1.5425	  2.6461	  0.0000
  7.1540	 10.2000	 -1.6117	  3.2147	  0.0000
  7.8067	 10.2000	 -1.2468	  2.9057	  0.0000
  8.4594	 10.2000	 -1.3923	  3.0010	  0.0000
  9.1121	 10.2000	 -1.5444	  2.5362	  1.0000
  9.7648	 10.2000	 -1.6136	  2.3957	  1.0000
 10.4175	 10.2000	 -1.7449	  2.2813	  1.0000
 11.0702	 10.2000	 -1.8428	  2.1682	  1.0000
 11.7230	 10.2000	 -1.8603	  2.0507	  1.0000
 12.3757	 10.2000	 -1.7822	  2.0286	  1.0000
 13.0284	 10.2000	 -1.7163	  2.0357	  1.0000
 13.6811	 10.2000	 -0.6895	  1.3780	  0.0000
 14.3338	 10.2000	 -0.4903	  2.0146	  0.0000
 14.9865	 10.2000	 -1.4664	  2.1029	  1.0000
  0.6268	  9.5472	 -3.1229	  3.3052	  0.0000
  1.2795	  9.5472	 -3.2617	  3.5425	  0.0000
  1.9322	  9.5472	 -2.9487	  3.2721	  0.0000
  2.5850	  9.5472	 -3.2838	  2.7209	  0.0000
  3.2377	  9.5472	 -3.2394	  2.6606	  0.0000
  3.8904	  9.5472	 -2.4764	  2.5859	  0.0000
  4.5431	  9.5472	 -2.5029	  2.6234	  1.0000
  5.1958	  9.5472	 -2.2983	  2.6391	  1.0000
  5.8485	  9.5472	 -2.0086	  2.6760	  0.0000
  6.5012	  9.5472	 -2.1678	  2.6942	  0.0000
  7.1540	  9.5472	 -1.6272	  2.6356	  0.0000
  7.8067	  9.5472	 -1.3676	  2.6224	  0.0000
  8.4594	  9.5472	 -1.3773	  2.4807	  0.0000
  9.1121	  9.5472	 -1.3659	  2.5375	  0.0000
  9.7648	  9.5472	 -1.7320	  2.3584	  0.0000
 10.4175	  9.5472	 -1.9192	  2.0156	  0.0000
